FrameNumber,networkID,lane,latitude,longitude,loc,gradient,crossfall,curvature
1,10009,L1,-37.748058,175.2371346,0.0,-0.6,0.2,-35.0
1,10009,L1,-37.7494198,175.236198,172.36816309089994,1.3,3.3,-357.0
1,10009,L1,-37.7482335,175.2372756,334.7780488345999,0.2,3.5,4292.0
1,10009,L1,-37.6218094,175.2055129,0.0,-0.6,0.2,-35.0
2,10009,L1,-37.748058,175.2371346,0.0,-0.6,0.2,-35.0
2,10009,L1,-37.7494198,175.236198,172.36816309089994,1.3,3.3,-357.0
2,10009,L1,-37.7482335,175.2372756,334.7780488345999,0.2,3.5,4292.0
2,10009,L1,-37.6218094,175.2055129,0.0,-0.6,0.2,-35.0
3,10009,L1,-37.748058,175.2371346,0.0,-0.6,0.2,-35.0
3,10009,L1,-37.7494198,175.236198,172.36816309089994,1.3,3.3,-357.0
3,10009,L1,-37.7482335,175.2372756,334.7780488345999,0.2,3.5,4292.0
3,10009,L1,-37.6218094,175.2055129,0.0,-0.6,0.2,-35.0
4,10009,L1,-37.748058,175.2371346,0.0,-0.6,0.2,-35.0
4,10009,L1,-37.7494198,175.236198,172.36816309089994,1.3,3.3,-357.0
4,10009,L1,-37.7482335,175.2372756,334.7780488345999,0.2,3.5,4292.0
4,10009,L1,-37.6218094,175.2055129,0.0,-0.6,0.2,-35.0
5,10009,L1,-37.748058,175.2371346,0.0,-0.6,0.2,-35.0
5,10009,L1,-37.7494198,175.236198,172.36816309089994,1.3,3.3,-357.0
5,10009,L1,-37.7482335,175.2372756,334.7780488345999,0.2,3.5,4292.0
5,10009,L1,-37.6218094,175.2055129,0.0,-0.6,0.2,-35.0
6,10009,L1,-37.7479983,175.2371178,0.0,-0.6,0.2,-35.0
6,10009,L1,-37.7495048,175.2363045,182.1389339333393,1.3,2.9,-341.0
6,10009,L1,-37.7482266,175.2372644,347.4371386840753,0.0,3.1,3003.0
6,10009,L1,-37.6218007,175.2056456,0.0,-0.6,0.2,-35.0
7,10009,L1,-37.7479983,175.2371178,0.0,-0.6,0.2,-35.0
7,10009,L1,-37.7495048,175.2363045,182.1389339333393,1.3,2.9,-341.0
7,10009,L1,-37.7482266,175.2372644,347.4371386840753,0.0,3.1,3003.0
7,10009,L1,-37.6218007,175.2056456,0.0,-0.6,0.2,-35.0
8,10009,L1,-37.7479983,175.2371178,0.0,-0.6,0.2,-35.0
8,10009,L1,-37.7495048,175.2363045,182.1389339333393,1.3,2.9,-341.0
8,10009,L1,-37.6218007,175.2056456,0.0,-0.6,0.2,-35.0
9,10009,L1,-37.7479983,175.2371178,0.0,-0.6,0.2,-35.0
9,10009,L1,-37.7495048,175.2363045,182.1389339333393,1.3,2.9,-341.0
9,10009,L1,-37.6218007,175.2056456,0.0,-0.6,0.2,-35.0
10,10009,L1,-37.7479983,175.2371178,0.0,-0.6,0.2,-35.0
10,10009,L1,-37.7495048,175.2363045,182.1389339333393,1.3,2.9,-341.0
10,10009,L1,-37.6218007,175.2056456,0.0,-0.6,0.2,-35.0
11,10009,L1,-37.7479463,175.23713,0.0,-0.6,0.2,-35.0
11,10009,L1,-37.7496265,175.2364566,195.9866880236174,1.2,2.6,-361.0
11,10009,L1,-37.6217689,175.2060712,0.0,-0.6,0.2,-35.0
12,10009,L1,-37.7479463,175.23713,0.0,-0.6,0.2,-35.0
12,10009,L1,-37.7496265,175.2364566,195.9866880236174,1.2,2.6,-361.0
12,10009,L1,-37.6217689,175.2060712,0.0,-0.6,0.2,-35.0
13,10009,L1,-37.7479463,175.23713,0.0,-0.6,0.2,-35.0
13,10009,L1,-37.7496265,175.2364566,195.9866880236174,1.2,2.6,-361.0
13,10009,L1,-37.6217689,175.2060712,0.0,-0.6,0.2,-35.0
14,10009,L1,-37.7479463,175.23713,0.0,-0.6,0.2,-35.0
14,10009,L1,-37.7496265,175.2364566,195.9866880236174,1.2,2.6,-361.0
14,10009,L1,-37.6217689,175.2060712,0.0,-0.6,0.2,-35.0
15,10009,L1,-37.7479463,175.23713,0.0,-0.6,0.2,-35.0
15,10009,L1,-37.7496265,175.2364566,195.9866880236174,1.2,2.6,-361.0
15,10009,L1,-37.6217689,175.2060712,0.0,-0.6,0.2,-35.0
16,10009,L1,-37.7478783,175.2370765,0.0,-0.6,0.2,-35.0
16,10009,L1,-37.7497133,175.2365658,208.92484921462008,1.1,2.6,-370.0
16,10009,L1,-37.6216775,175.2064145,0.0,-0.6,0.2,-35.0
16,10009,L1,-37.7087265,175.2077118,0.0,-0.6,0.2,-35.0
17,10009,L1,-37.7478783,175.2370765,0.0,-0.6,0.2,-35.0
17,10009,L1,-37.7497133,175.2365658,208.92484921462008,1.1,2.6,-370.0
17,10009,L1,-37.6216775,175.2064145,0.0,-0.6,0.2,-35.0
17,10009,L1,-37.70876275,175.20770415,0.0,-0.6,0.2,-35.0
18,10009,L1,-37.7478783,175.2370765,0.0,-0.6,0.2,-35.0
18,10009,L1,-37.7497133,175.2365658,208.92484921462008,1.1,2.6,-370.0
18,10009,L1,-37.6216775,175.2064145,0.0,-0.6,0.2,-35.0
18,10009,L1,-37.708799,175.2076965,0.0,-0.6,0.2,-35.0
19,10009,L1,-37.7478783,175.2370765,0.0,-0.6,0.2,-35.0
19,10009,L1,-37.7497133,175.2365658,208.92484921462008,1.1,2.6,-370.0
19,10009,L1,-37.6216775,175.2064145,0.0,-0.6,0.2,-35.0
19,10009,L1,-37.70883525,175.20768885,0.0,-0.6,0.2,-35.0
20,10009,L1,-37.7478783,175.2370765,0.0,-0.6,0.2,-35.0
20,10009,L1,-37.7497133,175.2365658,208.92484921462008,1.1,2.6,-370.0
20,10009,L1,-37.6216775,175.2064145,0.0,-0.6,0.2,-35.0
20,10009,L1,-37.7088715,175.2076812,0.0,-0.6,0.2,-35.0
21,10009,L1,-37.7477386,175.2368368,0.0,-0.6,0.2,-35.0
21,10009,L1,-37.7497468,175.2366081,224.205154297588,1.2,3.1,-638.0
21,10009,L1,-37.6214707,175.2067396,0.0,-0.6,0.2,-35.0
21,10009,L1,-37.7088715,175.2076812,0.0,-0.6,0.2,-35.0
22,10009,L1,-37.7477386,175.2368368,0.0,-0.6,0.2,-35.0
22,10009,L1,-37.7497468,175.2366081,224.205154297588,1.2,3.1,-638.0
22,10009,L1,-37.6214707,175.2067396,0.0,-0.6,0.2,-35.0
22,10009,L1,-37.7091808,175.207624275,0.0,-0.6,0.2,-35.0
23,10009,L1,-37.7477386,175.2368368,0.0,-0.6,0.2,-35.0
23,10009,L1,-37.7497468,175.2366081,224.205154297588,1.2,3.1,-638.0
23,10009,L1,-37.6214707,175.2067396,0.0,-0.6,0.2,-35.0
23,10009,L1,-37.7094901,175.20756735,0.0,-0.6,0.2,-35.0
24,10009,L1,-37.7477386,175.2368368,0.0,-0.6,0.2,-35.0
24,10009,L1,-37.7497468,175.2366081,224.205154297588,1.2,3.1,-638.0
24,10009,L1,-37.6214707,175.2067396,0.0,-0.6,0.2,-35.0
24,10009,L1,-37.7097994,175.207510425,0.0,-0.6,0.2,-35.0
25,10009,L1,-37.7477386,175.2368368,0.0,-0.6,0.2,-35.0
25,10009,L1,-37.7497468,175.2366081,224.205154297588,1.2,3.1,-638.0
25,10009,L1,-37.6214707,175.2067396,0.0,-0.6,0.2,-35.0
25,10009,L1,-37.7101087,175.2074535,0.0,-0.6,0.2,-35.0
26,10009,L1,-37.7497483,175.23661,0.0,-0.6,0.2,-35.0
26,10009,L1,-37.6215305,175.2069875,0.0,-0.6,0.2,-35.0
