FrameNumber,networkID,lane,latitude,longitude,loc,gradient,crossfall,curvature
1,10009,L1,-37.716880175,175.229030275,126.78655298137495,0.07500000000000001,1.8,966.25
1,10009,R1,-37.7080927,175.2080222,0.0,0.3,3.1,-2309.0
2,10009,L1,-37.716880175,175.229030275,126.78655298137495,0.07500000000000001,1.8,966.25
2,10009,R1,-37.7080554,175.207949725,7.606008917454573,0.3,3.1,-2309.0
3,10009,L1,-37.716880175,175.229030275,126.78655298137495,0.07500000000000001,1.8,966.25
3,10009,R1,-37.7080181,175.20787725,15.21202052284741,0.2,2.9,-2309.0
4,10009,L1,-37.716880175,175.229030275,126.78655298137495,0.07500000000000001,1.8,966.25
4,10009,R1,-37.7079808,175.207804775,22.81803481805293,0.2,2.7,-2725.0
5,10009,L1,-37.716880175,175.229030275,126.78655298137495,0.07500000000000001,1.8,966.25
5,10009,R1,-37.7079435,175.2077323,30.42405180306927,0.2,2.4,-3333.0
6,10009,L1,-37.7168826,175.229083075,132.39401815435366,0.025000000000000022,1.6,648.0
6,10009,R1,-37.7079435,175.2077323,30.42405180306927,0.2,2.4,-3333.0
7,10009,L1,-37.7168826,175.229083075,132.39401815435366,0.025000000000000022,1.6,648.0
7,10009,R1,-37.7079340566,175.2076594264,36.92021647393718,0.2,2.4,-3333.0
8,10009,L1,-37.7064346,175.22635596666666,60.712977977779765,0.03333333333333336,1.1,-137.0
8,10009,R1,-37.7079246132,175.2075865528,43.41638194895518,0.2,2.3,-3745.0
9,10009,L1,-37.7064346,175.22635596666666,60.712977977779765,0.03333333333333336,1.1,-137.0
9,10009,R1,-37.7079151698,175.2075136792,49.91254823219794,0.2,2.3,-3745.0
10,10009,L1,-37.7064346,175.22635596666666,60.712977977779765,0.03333333333333336,1.1,-137.0
10,10009,R1,-37.7079057264,175.2074408057,56.40870663827551,0.2,2.1,-3333.0
11,10009,L1,-37.706447233333336,175.2265526,65.32889600787247,0.0,1.0000000000000002,-143.66666666666666
11,10009,R1,-37.707905,175.2074352,56.908414896467576,0.2,2.1,-3333.0
12,10009,L1,-37.706447233333336,175.2265526,65.32889600787247,0.0,1.0000000000000002,-143.66666666666666
12,10009,R1,-37.707896275,175.20735195,64.29595448431054,0.3,2.3,-2500.0
13,10009,L1,-37.706447233333336,175.2265526,65.32889600787247,0.0,1.0000000000000002,-143.66666666666666
13,10009,R1,-37.70788755,175.2072687,71.68349492909947,0.3,2.6,-2000.0
14,10009,L1,-37.706447233333336,175.2265526,65.32889600787247,0.0,1.0000000000000002,-143.66666666666666
14,10009,R1,-37.707878825,175.20718545,79.07103622648911,0.3,2.6,-2000.0
15,10009,L1,-37.706447233333336,175.2265526,65.32889600787247,0.0,1.0000000000000002,-143.66666666666666
15,10009,R1,-37.7078701,175.2071022,86.45857837860541,0.2,2.7,-1764.0
16,10009,L1,-37.7069989,175.22194215,52.23121230365502,-0.17499999999999996,0.8,-118.75
16,10009,R1,-37.7078701,175.2071022,86.45857837860541,0.2,2.7,-1764.0
17,10009,L1,-37.7070079625,175.2219402375,52.23121230365502,-0.17499999999999996,0.8,-118.75
17,10009,R1,-37.7078580404,175.2069895201,96.46140073071024,0.2,2.6,-1667.0
18,10009,L1,-37.707017025,175.221938325,52.23121230365502,-0.17499999999999996,0.8,-118.75
18,10009,R1,-37.7078459809,175.2068768402,106.46422318832629,0.2,2.5,-1876.0
19,10009,L1,-37.7070260875,175.22193641249999,52.23121230365502,-0.17499999999999996,0.8,-118.75
19,10009,R1,-37.7078339213,175.2067641603,116.46704873710827,0.2,2.6,-2141.0
20,10009,L1,-37.70703515,175.2219345,52.23121230365502,-0.17499999999999996,0.8,-118.75
20,10009,R1,-37.7078218618,175.2066514804,126.46987439168555,0.2,2.8,-2500.0
21,10009,L1,-37.7069569,175.221966425,56.051288574397,-0.15,0.925,-185.75
21,10009,R1,-37.7078215,175.2066481,126.76995967339603,0.2,2.8,-2500.0
22,10009,L1,-37.707034225,175.22195219374998,56.051288574397,-0.15,0.925,-185.75
22,10009,R1,-37.707831275,175.206568275,133.8758466019639,0.2,2.9,-2725.0
23,10009,L1,-37.70711155,175.2219379625,56.051288574397,-0.15,0.925,-185.75
23,10009,R1,-37.70784105,175.20648845,140.9817326176476,0.1,3.0,-3003.0
24,10009,L1,-37.707188875,175.22192373125,56.051288574397,-0.15,0.925,-185.75
24,10009,R1,-37.707850825,175.206408625,148.0876177156983,0.1,3.0,-3003.0
25,10009,L1,-37.7072662,175.2219095,56.051288574397,-0.15,0.925,-185.75
25,10009,R1,-37.7078606,175.2063288,155.19350189843598,0.1,3.1,-3333.0
26,10009,L1,-37.69379583333333,175.21701700000003,0.0,-0.6,0.20000000000000004,-35.0
26,10009,R1,-37.7078606,175.2063288,155.19350189843598,0.1,3.1,-3333.0
27,10009,L1,-37.693840555966666,175.2170111454333,0.0,-0.6,0.20000000000000004,-35.0
27,10009,R1,-37.707825925,175.206271075,161.56951216438836,0.2,3.1,-2500.0
28,10009,L1,-37.6938852786,175.2170052908667,0.0,-0.6,0.20000000000000004,-35.0
28,10009,R1,-37.70779125,175.20621335,167.9455243208508,0.2,3.1,-2500.0
29,10009,L1,-37.69393000123333,175.21699943626666,0.0,-0.6,0.20000000000000004,-35.0
29,10009,R1,-37.707756575,175.206155625,174.3215383718154,0.2,3.1,-1876.0
30,10009,L1,-37.6939747239,175.2169935817,0.0,-0.6,0.20000000000000004,-35.0
30,10009,R1,-37.7077219,175.2060979,180.697554314215,0.2,3.1,-1580.0
31,10009,L1,-37.69406433333334,175.21700993333332,0.0,-0.6,0.20000000000000004,-35.0
31,10009,R1,-37.7077219,175.2060979,180.697554314215,0.2,3.1,-1580.0
32,10009,L1,-37.694115116666666,175.21700819166665,0.0,-0.6,0.20000000000000004,-35.0
32,10009,R1,-37.707681922,175.2061239352,185.6982343572307,0.2,3.1,-1580.0
33,10009,L1,-37.6941659,175.21700644999999,0.0,-0.6,0.20000000000000004,-35.0
33,10009,R1,-37.7076419441,175.2061499705,190.69890911054108,0.2,3.2,-1876.0
34,10009,L1,-37.69421668333334,175.21700470833332,0.0,-0.6,0.20000000000000004,-35.0
34,10009,R1,-37.7076019661,175.2061760057,195.69959028463927,0.2,3.2,-1876.0
35,10009,L1,-37.694267466666666,175.21700296666666,0.0,-0.6,0.20000000000000004,-35.0
35,10009,R1,-37.7075619881,175.206202041,200.70027605461846,0.2,3.4,-2141.0
36,10009,L1,-37.6943641,175.21689543333332,0.0,-0.6,0.20000000000000004,-35.0
36,10009,R1,-37.7075404,175.2062161,203.40064213061967,0.2,3.4,-2141.0
37,10009,L1,-37.6943641,175.21689543333332,0.0,-0.6,0.20000000000000004,-35.0
37,10009,R1,-37.7075404,175.2062161,203.40064213061967,0.2,3.4,-2141.0
38,10009,L1,-37.6943641,175.21689543333332,0.0,-0.6,0.20000000000000004,-35.0
38,10009,R1,-37.7075404,175.2062161,203.40064213061967,0.2,3.4,-2141.0
39,10009,L1,-37.6943641,175.21689543333332,0.0,-0.6,0.20000000000000004,-35.0
39,10009,R1,-37.7075404,175.2062161,203.40064213061967,0.2,3.4,-2141.0
40,10009,L1,-37.6943641,175.21689543333332,0.0,-0.6,0.20000000000000004,-35.0
40,10009,R1,-37.7075404,175.2062161,203.40064213061967,0.2,3.4,-2141.0
41,10009,L1,-37.693118733333336,175.21660243333335,0.0,-0.6,0.20000000000000004,-35.0
42,10009,L1,-37.69309065,175.21663141666667,0.0,-0.6,0.20000000000000004,-35.0
43,10009,L1,-37.69306256666667,175.2166604,0.0,-0.6,0.20000000000000004,-35.0
44,10009,L1,-37.693034483333335,175.21668938333332,0.0,-0.6,0.20000000000000004,-35.0
45,10009,L1,-37.6930064,175.21671836666667,0.0,-0.6,0.20000000000000004,-35.0
46,10009,L1,-37.69805585,175.21433235,0.0,-0.6,0.2,-35.0
47,10009,L1,-37.698050593375,175.21435158955,0.0,-0.6,0.2,-35.0
48,10009,L1,-37.698045336774996,175.21437082905,0.0,-0.6,0.2,-35.0
49,10009,L1,-37.69804008015,175.2143900686,0.0,-0.6,0.2,-35.0
50,10009,L1,-37.69803482355,175.214409308125,0.0,-0.6,0.2,-35.0
51,10009,L1,-37.6981734016,175.21442016244998,0.0,-0.6,0.2,-35.0
52,10009,L1,-37.698199343175,175.214449616175,0.0,-0.6,0.2,-35.0
53,10009,L1,-37.698225284749995,175.214479069925,0.0,-0.6,0.2,-35.0
54,10009,L1,-37.698251226325,175.21450852365,0.0,-0.6,0.2,-35.0
55,10009,L1,-37.6982771679,175.2145379774,0.0,-0.6,0.2,-35.0
56,10009,L1,-37.698490925,175.21453935,0.0,-0.6,0.2,-35.0
57,10009,L1,-37.69849269365,175.214571991675,0.0,-0.6,0.2,-35.0
58,10009,L1,-37.698494462275,175.214604633325,0.0,-0.6,0.2,-35.0
59,10009,L1,-37.698496230900005,175.214637275,0.0,-0.6,0.2,-35.0
60,10009,L1,-37.698497999525,175.21466991665,0.0,-0.6,0.2,-35.0
61,10009,L1,-37.69867315,175.214672775,0.0,-0.6,0.2,-35.0
62,10009,L1,-37.69868901875,175.2147086875,0.0,-0.6,0.2,-35.0
63,10009,L1,-37.6987048875,175.21474460000002,0.0,-0.6,0.2,-35.0
64,10009,L1,-37.69872075625,175.2147805125,0.0,-0.6,0.2,-35.0
65,10009,L1,-37.698736625,175.214816425,0.0,-0.6,0.2,-35.0
66,10009,L1,-37.698913,175.21481747500002,0.0,-0.6,0.2,-35.0
67,10009,L1,-37.698957886425,175.214834511775,0.0,-0.6,0.2,-35.0
68,10009,L1,-37.69900277285,175.21485154855,0.0,-0.6,0.2,-35.0
69,10009,L1,-37.699047659274996,175.2148685853,0.0,-0.6,0.2,-35.0
70,10009,L1,-37.699092545725,175.214885622075,0.0,-0.6,0.2,-35.0
71,10009,L1,-37.699206175,175.214894675,0.0,-0.6,0.2,-35.0
72,10009,L1,-37.6992487375,175.21489991250002,0.0,-0.6,0.2,-35.0
73,10009,L1,-37.6992913,175.21490515,0.0,-0.6,0.2,-35.0
74,10009,L1,-37.6993338625,175.2149103875,0.0,-0.6,0.2,-35.0
75,10009,L1,-37.699376425,175.214915625,0.0,-0.6,0.2,-35.0
76,10009,L1,-37.6978939,175.2170919,0.0,-0.6,0.20000000000000004,-35.0
76,10009,R1,-37.7039639,175.20872,0.0,0.3,3.1,-2309.0
77,10009,L1,-37.697951575,175.21709381666665,0.0,-0.6,0.20000000000000004,-35.0
77,10009,R1,-37.7037740084,175.2088080495,22.491020783736253,0.2,2.7,-2725.0
78,10009,L1,-37.698009250000005,175.2170957333333,0.0,-0.6,0.20000000000000004,-35.0
78,10009,R1,-37.7035841167,175.2088960991,44.98206187235659,0.2,2.3,-3745.0
79,10009,L1,-37.698066925,175.21709765,0.0,-0.6,0.20000000000000004,-35.0
79,10009,R1,-37.7033942251,175.2089841486,67.47309632628915,0.3,2.3,-2500.0
80,10009,L1,-37.6981246,175.21709956666666,0.0,-0.6,0.20000000000000004,-35.0
80,10009,R1,-37.7032043334,175.2090721981,89.96414805395091,0.2,2.7,-1764.0
81,10009,L1,-37.69847023333333,175.217129,0.0,-0.6,0.20000000000000004,-35.0
